Designator,Mid X,Mid Y,Rotation,Layer
A1,254.145,-80.825,90.0,bottom
R1,204.0,-80.95,270.0,bottom
R10,133.0,-165.95,90.0,bottom
R11,132.5,-186.45,90.0,bottom
R12,124.5,-205.95,270.0,bottom
R13,168.05,-100.5,0.0,bottom
R14,189.05,-100.5,0.0,bottom
R15,209.45,-100.5,0.0,bottom
R16,132.5,-205.95,90.0,bottom
R17,168.05,-107.0,180.0,bottom
R18,189.05,-107.0,180.0,bottom
R19,208.95,-107.0,180.0,bottom
R2,198.0,-80.95,90.0,bottom
R20,229.5,-100.0,0.0,bottom
R21,249.05,-100.5,0.0,bottom
R22,267.0,-126.5,270.0,bottom
R23,267.0,-146.05,270.0,bottom
R24,229.05,-107.0,180.0,bottom
R25,249.05,-107.0,180.0,bottom
R26,276.0,-126.5,90.0,bottom
R27,276.0,-146.05,90.0,bottom
R28,267.0,-166.05,270.0,bottom
R29,267.0,-186.55,270.0,bottom
R3,192.0,-81.05,90.0,bottom
R30,267.0,-206.55,270.0,bottom
R31,168.5,-241.5,0.0,bottom
R32,275.5,-165.95,90.0,bottom
R33,275.5,-186.45,90.0,bottom
R34,275.5,-206.45,90.0,bottom
R35,168.5,-251.5,180.0,bottom
R36,189.0,-241.5,0.0,bottom
R37,208.45,-241.0,0.0,bottom
R38,228.45,-241.5,0.0,bottom
R39,248.5,-241.5,0.0,bottom
R4,124.5,-126.55,270.0,bottom
R40,188.45,-251.5,180.0,bottom
R41,208.55,-251.5,180.0,bottom
R42,228.55,-251.5,180.0,bottom
R43,248.55,-247.25,180.0,bottom
R5,124.5,-146.05,270.0,bottom
R6,124.5,-165.95,270.0,bottom
R7,124.5,-186.55,270.0,bottom
R8,133.0,-126.45,90.0,bottom
R9,133.0,-145.95,90.0,bottom
S1,199.18293807574503,-87.16081894049665,45.0,top
S10,220.0,-103.7,0.0,top
S11,240.0,-103.7,0.0,top
S12,271.29,-135.0,0.0,top
S13,271.29,-155.0,0.0,top
S14,271.29,-175.0,0.0,top
S15,271.29,-195.0,0.0,top
S16,271.29,-215.0,0.0,top
S17,160.0,-246.3,0.0,top
S18,180.0,-246.3,0.0,top
S19,200.0,-246.3,0.0,top
S2,128.69,-135.0,0.0,top
S20,220.0,-246.3,0.0,top
S21,240.0,-246.3,0.0,top
S3,128.69,-155.0,0.0,top
S4,128.69,-175.0,0.0,top
S5,128.69,-195.0,0.0,top
S6,128.69,-215.0,0.0,top
S7,160.0,-103.7,0.0,top
S8,180.0,-103.7,0.0,top
S9,200.0,-103.7,0.0,top
VR1,128.7,-244.3625,0.0,top
VR2,271.3,-244.3625,0.0,top
